time,room,h_interface,T_upper,T_lower
116,1F_Room2,3.0,312.9156991377439,303.96707724632336
117,1F_Room2,3.0,312.91570774992357,304.00304809233023
118,1F_Room2,3.0,312.91571620445404,304.0386594604519
119,1F_Room2,3.0,312.91572450562484,304.07391706622
120,1F_Room2,3.0,312.91573265757114,304.10882650092935
121,1F_Room2,3.0,312.9157406642809,304.1433932350551
122,1F_Room2,3.0,312.9157485296012,304.1776226215565
123,1F_Room2,3.0,312.9157562572444,304.2115198990715
124,1F_Room2,3.0,312.91576385079406,304.2450901950066
125,1F_Room2,3.0,312.9157713137104,304.27833852852564
126,1F_Room2,3.0,312.9157786493357,304.3112698134419
127,1F_Room2,3.0,312.91578586089906,304.3438888610169
128,1F_Room2,3.0,312.9157929515214,304.376200382669
129,1F_Room2,3.0,312.91579992421964,304.40820899259626
130,1F_Room2,3.0,312.91580678191144,304.43991921031545
